Exercise,Set,Reps,Avg_One_Rep_Max,Suggested_Weight
Barbell Curls,1,3,73.5,67
Barbell Curls,1,12,73.5,52
Barbell Curls,1,17,73.5,47
Barbell Curls,1,4,73.5,65
Barbell Curls,1,13,73.5,51
Barbell Curls,1,18,73.5,46
Barbell Curls,1,5,73.5,63
Barbell Curls,1,14,73.5,50
Barbell Curls,1,19,73.5,45
Barbell Curls,1,6,73.5,61
Barbell Curls,1,15,73.5,49
Barbell Curls,1,20,73.5,44
Barbell Curls,1,7,73.5,60
Barbell Curls,1,16,73.5,48
Barbell Curls,1,9,73.5,57
Barbell Curls,1,8,73.5,58
Barbell Curls,1,11,73.5,54
Barbell Curls,1,10,73.5,55
Bench Press,1,3,172.08333333333334,156
Bench Press,1,12,172.08333333333334,123
Bench Press,1,17,172.08333333333334,110
Bench Press,1,4,172.08333333333334,152
Bench Press,1,13,172.08333333333334,120
Bench Press,1,18,172.08333333333334,108
Bench Press,1,5,172.08333333333334,148
Bench Press,1,14,172.08333333333334,117
Bench Press,1,19,172.08333333333334,105
Bench Press,1,6,172.08333333333334,143
Bench Press,1,15,172.08333333333334,115
Bench Press,1,20,172.08333333333334,103
Bench Press,1,7,172.08333333333334,140
Bench Press,1,16,172.08333333333334,112
Bench Press,1,9,172.08333333333334,132
Bench Press,1,8,172.08333333333334,136
Bench Press,1,11,172.08333333333334,126
Bench Press,1,10,172.08333333333334,129
Bench-Dips,1,3,300.3222222222222,273
Bench-Dips,1,12,300.3222222222222,215
Bench-Dips,1,17,300.3222222222222,192
Bench-Dips,1,4,300.3222222222222,265
Bench-Dips,1,13,300.3222222222222,210
Bench-Dips,1,18,300.3222222222222,188
Bench-Dips,1,5,300.3222222222222,257
Bench-Dips,1,14,300.3222222222222,205
Bench-Dips,1,19,300.3222222222222,184
Bench-Dips,1,6,300.3222222222222,250
Bench-Dips,1,15,300.3222222222222,200
Bench-Dips,1,20,300.3222222222222,180
Bench-Dips,1,7,300.3222222222222,244
Bench-Dips,1,16,300.3222222222222,196
Bench-Dips,1,9,300.3222222222222,231
Bench-Dips,1,8,300.3222222222222,237
Bench-Dips,1,11,300.3222222222222,220
Bench-Dips,1,10,300.3222222222222,225
Chin-Ups,1,3,260.85555555555555,237
Chin-Ups,1,12,260.85555555555555,186
Chin-Ups,1,17,260.85555555555555,167
Chin-Ups,1,4,260.85555555555555,230
Chin-Ups,1,13,260.85555555555555,182
Chin-Ups,1,18,260.85555555555555,163
Chin-Ups,1,5,260.85555555555555,224
Chin-Ups,1,14,260.85555555555555,178
Chin-Ups,1,19,260.85555555555555,160
Chin-Ups,1,6,260.85555555555555,217
Chin-Ups,1,15,260.85555555555555,174
Chin-Ups,1,20,260.85555555555555,157
Chin-Ups,1,7,260.85555555555555,212
Chin-Ups,1,16,260.85555555555555,170
Chin-Ups,1,9,260.85555555555555,201
Chin-Ups,1,8,260.85555555555555,206
Chin-Ups,1,11,260.85555555555555,191
Chin-Ups,1,10,260.85555555555555,196
Clean and Press,1,3,96.55555555555556,88
Clean and Press,1,12,96.55555555555556,69
Clean and Press,1,17,96.55555555555556,62
